,id,news_url,title,tweet_ids
16168,gossipcop-885121,https://www.tvinsider.com/365402/rhonj-season-8-teresa-giudice-danielle-staub-bravo/,'Real Housewives of New Jersey' Is Back...and So Is Danielle Staub (VIDEO),916021447469834240	916021868204785665	916022146966720513	916022863139934209	916023284356886528	916024375203082240	916024538294390785	916030402426490880	916032104722448385	916039783704551424	916042064466288640	916060635745710080	916060636953575431	916060731262595072	916060833679134723	916060858299682817	916060861059534848	916060874892292097	916060912397766656	916060925043625984	916061012851388416	916061042463125505	916061045927661568	916061112717758465	916061231332683777	916061294188531712	916061300727406594	916061342213332993	916061487826898944	916061510438391808	916061532840255490	916061557821530112	916061604407644167	916061658103066624	916061660019912704	916061839032832001	916061850474811393	916061910419767296	916065231989821440	916078717503500288	916079316059824128	916079741052112896	916140641956122625	916167257415405569	916834285956481024	916994838494629890	917002924617797632	917005154188226560	917009431061237760	917018241188421633	917019278641192961	917032083385614338	918496973212344320
8824,gossipcop-869984,https://charlesbrewer48125s.tumblr.com/post/163625369619/botched-recap-see-patient-darlenes,Charles Brewer — Botched Recap: See Patient Darlene's...,891843162267938822	891843468171124736	891843730742935552	891843923081019392	891844659088982016	891845477355974656	891845855057235969	891846846196449285	891848341595738112	891848554507104256	891848707330547712	891850516103385094	891852703034294272	891852701734064128	891856092602519556	891856213264089089	891857243838320641	891858958398500865	891879088536866816	891879440116051968	891879460861083648	891879467056078848	891879519216381952	891879617006587904	891879698086715398	891879709549744128	891879738284929025	891879887849521153	891880009392160768	891880036927668225	891880161968312320	891880236836679680	891880382936760321	891880406408204288	891880417804120064	891880416931704832	891880456689471489	891880628941012992	891880662252310528	891880674856251393	891880676089356289	891890274091376640	891890475371819009	891890499044483073	891890535321010177	891893742952738818	891946813422542848	892062179763118081	892064826071166976	893235062526754816
10527,gossipcop-934720,https://en.wikipedia.org/wiki/Shondaland,Shondaland,995070801203298304	995072418325647360	995072612165439488	995073537974067201	995074063251914752	995074675171610624	995075127430664192	995084141317312512	995085442625105920	995085549349363712	995090482110894080	995091886242222081	995099543468470272	995100459848355840	995142280095793152	995161199603081216	995198208220520448	995198683997261824	995285117638758400	995288015391076353	995358405060636672	995367071297912832	995367071289507840	995367071138570240	995686413910904836	995956208686260224	996020576878841856	1013783001015181312
8408,gossipcop-946864,https://www.usatoday.com/story/life/people/2018/11/11/peoples-choice-awards-2018-winners-list/1971244002/,"Winners list: 'Avengers: Infinity War,' BTS win big at the People's Choice Awards 2018",
12861,gossipcop-935016,https://www.dailymail.co.uk/tvshowbiz/article-5727563/Mandy-Moore-stuns-presentation-talks-playing-mom-no-kids.html,Mandy Moore of This Is Us talks playing a mom when she has no kids,996038642110877702	996038711182811136	996039230815199237	996039761428086784	996039924079054850	996040044560367617	996040075971579905	996040558563987456	996041306425249792	996042959136030720	996044320783421440	996045540583358465	996045803054657543	996057291563589632	996057295971803137	996064980545015808	996065240289771521	996065259352977410	996065327778877440	996065337618640901	996065401137192961	996065406262628352	996065432615387139	996065443034124288	996065508251271175	996065622495817728	996065700027518978	996065816381677568	996065878625136644	996065965988372480	996066056132325382	996066107982319619	996066123505373184	996066130610487297	996066147664646151	996066158179733505	996066156074164224	996066161002536960	996066159282749440	996066228279169025	996066270582919169	996066367546720256	996133951881252864	996149095356973056
7412,gossipcop-894494,https://popculture.com/reality-tv/2017/11/20/jordan-fisher-eye-injury-dancing-with-the-stars-lindsay-arnold/,Could Jordan Fisher's Eye Injury Keep Him From Winning DWTS?,931641114603466752	931641197826838528	931641625671032832	931642725899780097	931642936579805187	931643212837552130	931643299361906688	931643305066156038	931643335885942784	931643711360000000	931643760718462976	931644470944247808	931644572127678465	931644789249990662	931647767025303552	931647988560269317	931648171947651072	931648917154000897	931648944190427137	931648943984963585	931648995562319878	931649034896510976	931650842389868544	931654575974699008	931657962652704768	931659864199389186	931694254098931717	931733004401065986	931810320506675200	931873460531449856	931927935463886848	931929808673693696	932551120169336833	942153149032251393
3374,gossipcop-844117,https://en.wikipedia.org/wiki/Second_Wives_Club,Second Wives Club,856507381655711747
10355,gossipcop-954744,https://www.bustle.com/p/britney-spears-brought-andy-cohen-on-stage-but-may-have-forgotten-his-name-video-9880610,"Britney Spears Brought Andy Cohen On Stage, But May Have Forgotten His Name — VIDEO",1022138173378449408	1022139168615489536	1022139215952453637	1022140680317984774	1022142581034106890	1022146388598181890	1022148302765273089	1022162527952797698
6929,gossipcop-910243,https://buzznews.co.uk/celebrities/how-olivia-culpo-and-danny-amendola-became-a-power-couple/,How Olivia Culpo and Danny Amendola Became a Power Couple,959406637730603008	959408065593380864	959408411229159434	959408519157108736	959410150875586560	959411426451447808	959411628545634304	959411990602158081	959412885826015232	959413362424651777	959414696829968384	959415034647629825	959415899412422656	959420497803984896	959428490960367616	959432489054846977	959461560543412224
5339,gossipcop-882619,http://www.eternallifestyle.com/living/secrets-will-grace-never-knew/,Secrets From “Will & Grace” You Never Knew,912393170368868352	912393604051566592	912394113647087616	912394291216973825	912394299475623939	912394444766416899	912394796966150144	912396336107945984	912396493222547457	912398720762859520	912398996706136064	912399086199943168	912399886645161984	912400120620179458	912404274986045445	912406499737133057	912406775365849090	912407305450377219	912407665422340096	912408402701123584	912409099173859328	912413785578713088	912413801563160578	912413807712067590	912413812342521857	912413819011510277	912413823788879873	912414053578010625	912414111539060736	912414111149027328	912414120863059974	912414232641179649	912414279269306369	912414313587060736	912414387020976130	912414455526457344	912414478557466624	912414517879017472	912414539756523521	912414619607629826	912414641871048709	912414653048909824	912414657444446208	912414659000533005	912414740730785792	912414761748451328	912414759714160641	912414784146100226	912414799098720256	912417732855046144	912474569394573312	912522303010942976	912540244607733761	912756270951694342